K,T-A(k),T-B(k),Q-A(k),Q-B(k)
0,1.89E+00,0.00E+00,-6.27E+00,0.00E+00
1,2.80E+01,-6.57E+01,-5.91E+01,1.37E+02
2,1.89E+00,-2.31E-01,3.48E+00,-6.02E-02
3,6.00E-01,7.44E+00,-4.40E+00,-2.06E+01
4,-1.09E+00,-1.24E+00,-4.05E-01,3.36E+00
5,-6.44E+00,4.79E+00,1.18E+01,-8.96E+00
6,-1.56E-01,7.17E-01,3.09E+00,-2.66E+00
7,5.03E+00,3.43E-02,-1.31E+01,-9.82E-01
8,-6.39E-02,-2.94E-01,-1.41E+00,2.25E+00
9,-2.03E+00,2.01E+00,5.68E+00,-8.73E-01
10,6.09E-01,2.71E-01,2.61E-01,-3.17E+00
11,1.89E+00,1.65E-01,-4.59E+00,-3.32E+00
12,-4.19E-01,-1.80E-01,-5.81E-01,2.13E+00
13,6.72E-01,1.10E+00,-1.24E-01,-1.08E+00
14,6.42E-01,-1.63E-01,-1.65E+00,-1.36E+00
15,7.27E-01,-1.31E+00,-4.35E+00,2.08E+00
16,-1.75E-01,-3.06E-03,9.56E-01,2.02E+00
17,1.75E-01,4.66E-01,2.01E+00,3.30E-01
18,3.55E-01,-4.00E-01,-6.78E-01,-1.04E+00
19,7.97E-02,-7.46E-01,-2.09E+00,1.34E+00
20,-9.91E-02,1.86E-02,1.00E-01,1.26E+00
21,2.20E-01,-9.19E-02,1.43E+00,3.93E-01
22,-4.75E-02,-4.17E-01,-4.02E-01,-1.53E-01
23,-5.25E-01,-3.05E-01,-3.48E-01,1.26E+00
24,5.35E-02,1.42E-01,1.12E+00,1.11E+00
25,9.95E-02,6.35E-02,1.82E+00,-7.67E-01
26,-1.62E-01,-2.74E-01,-3.42E-01,-7.11E-01
27,-3.42E-01,9.27E-03,-6.79E-01,7.81E-02
28,2.52E-02,1.11E-01,9.00E-01,7.05E-01
29,4.63E-03,-1.78E-02,8.46E-01,-6.64E-01
30,-2.04E-01,6.47E-03,-8.46E-02,-6.18E-01
